fecha,target,modelo,real,prediccion
2024-07-01,peso_neto_kg,HistGradientBoosting,991487818.23,905008387.8667558
2024-08-01,peso_neto_kg,HistGradientBoosting,1083967677.69,958948677.4220326
2024-09-01,peso_neto_kg,HistGradientBoosting,978002985.0,988871748.958643
2024-10-01,peso_neto_kg,HistGradientBoosting,1060155291.45,921006073.2128018
2024-11-01,peso_neto_kg,HistGradientBoosting,1186755906.93,1017633158.9393017
2024-12-01,peso_neto_kg,HistGradientBoosting,1164213698.57,891479613.3330045
2025-01-01,peso_neto_kg,HistGradientBoosting,1115690908.38,963899690.5785984
2025-02-01,peso_neto_kg,HistGradientBoosting,1251014746.32,993303487.7996266
2025-03-01,peso_neto_kg,HistGradientBoosting,1150539304.91,1074114987.975176
2025-04-01,peso_neto_kg,HistGradientBoosting,1246425404.66,1134059211.6781442
2025-05-01,peso_neto_kg,HistGradientBoosting,1312429150.63,1150404762.5411327
2025-06-01,peso_neto_kg,HistGradientBoosting,1179438538.12,1135198171.5900915
2025-07-01,peso_neto_kg,HistGradientBoosting,1204109195.79,1126450180.41788
2025-08-01,peso_neto_kg,HistGradientBoosting,1190370637.7,1208264294.2371862
2025-09-01,peso_neto_kg,HistGradientBoosting,1277378332.51,1135747801.1544485
2025-10-01,peso_neto_kg,HistGradientBoosting,1273664038.48,1185876461.3877528
2025-11-01,peso_neto_kg,HistGradientBoosting,1087619688.01,1202472605.321329
2025-12-01,peso_neto_kg,HistGradientBoosting,1310584840.77,1092883823.962704
2026-01-01,peso_neto_kg,HistGradientBoosting,1332863166.32,1216359754.6937594
2026-02-01,peso_neto_kg,HistGradientBoosting,1218746382.04,1199073056.1305299
2026-03-01,peso_neto_kg,HistGradientBoosting,1249994753.9,1219856483.613565
2026-04-01,peso_neto_kg,HistGradientBoosting,1352641712.16,1216982269.1303854
2026-05-01,peso_neto_kg,HistGradientBoosting,1151370838.21,1202114077.276117
